model,val_accuracy,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_f1_negative,test_f1_neutral,test_f1_positive
Logistic Regression (Phase 2),0.6531,0.6529,0.6533,0.6535,0.654,0.6629,0.6611,0.6635,0.6606,0.6625,0.6546,0.6315,0.6973
Multinomial Naive Bayes,0.5212177121771218,0.4950524314625849,0.4927362185410032,0.6273493092652974,0.5338008538599364,0.536906584992343,0.5207748301071565,0.5184025235589222,0.6278064109175667,0.55982315389468,0.3796,0.5498,0.6329
Linear SVM,0.6402214022140221,0.6396627958839559,0.6400423256228166,0.6469371409234234,0.642678895522952,0.6356814701378254,0.6345930594102068,0.636238920389921,0.6390099748960523,0.6403651892605594,0.6186,0.6138,0.6713
