model,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,delta_vs_phase4_macro_f1
Phase 2 TF-IDF + LR,0.6629,0.6606,0.6625,0.6611,0.6635,-0.0046
Phase 4 TF-IDF + Linguistic Features + LR,0.6669,0.6651,0.668,0.6657,0.6674,0.0
Phase 5 BiLSTM,0.6579,0.6575,0.6549,0.6557,0.6579,-0.01
Phase 6: BiLSTM + Group B,0.6649,0.6678,0.659,0.6611,0.6639,-0.0046
Phase 6: BiLSTM + Group C,0.6596,0.6587,0.6577,0.6578,0.6598,-0.0079
Phase 6: BiLSTM + Group A+B+C,0.6617,0.6596,0.6601,0.6598,0.6616,-0.0059
Phase 6: BiLSTM + All 12 Features,0.6616,0.6601,0.6594,0.6596,0.6617,-0.0061
