experiment,model_name,epoch,train_loss,train_accuracy,val_loss,val_accuracy
group_b,Phase 6: BiLSTM + Group B,1,0.8856732845306396,0.5983580946922302,0.82320237159729,0.646494448184967
group_b,Phase 6: BiLSTM + Group B,2,0.6865692734718323,0.7115678787231445,0.8196448683738708,0.6575645804405212
group_b,Phase 6: BiLSTM + Group B,3,0.5799176096916199,0.7575433850288391,0.8772846460342407,0.6579335927963257
group_b,Phase 6: BiLSTM + Group B,4,0.48996683955192566,0.7954073548316956,1.0238145589828491,0.6461254358291626
group_c,Phase 6: BiLSTM + Group C,1,0.8866360783576965,0.6014832258224487,0.818797767162323,0.6405904293060303
group_c,Phase 6: BiLSTM + Group C,2,0.6928938627243042,0.7078843116760254,0.8203558325767517,0.6586715579032898
group_c,Phase 6: BiLSTM + Group C,3,0.5896196365356445,0.755770206451416,0.8806660175323486,0.650738000869751
abc,Phase 6: BiLSTM + Group A+B+C,1,0.8843271732330322,0.5996120572090149,0.8143754005432129,0.6488929986953735
abc,Phase 6: BiLSTM + Group A+B+C,2,0.6895557045936584,0.7103824615478516,0.8150391578674316,0.6616235971450806
abc,Phase 6: BiLSTM + Group A+B+C,3,0.5893381834030151,0.7568967938423157,0.8703415989875793,0.6592251062393188
all_features,Phase 6: BiLSTM + All 12 Features,1,0.8794594407081604,0.6055194139480591,0.813646674156189,0.6531365513801575
all_features,Phase 6: BiLSTM + All 12 Features,2,0.6880205869674683,0.7098338603973389,0.8174657821655273,0.6601476073265076
all_features,Phase 6: BiLSTM + All 12 Features,3,0.5870704054832458,0.7564559578895569,0.8708020448684692,0.6590405702590942
